Baseline
439
441
431
391
424
413
413
414
447
492
406
418
427
421
419
474
425
407
408
423
418
394
422
414
418
408
418
449
425
416
397
408
402
392
401
410
429
442
403
401
439
422
412
408
421
436
429
397
425
425
393
422
420
411
416
405
396
402
409
455
398
444
414
421
422
408
414
406
397
423
487
411
411
409
408
409
430
420
466
444
407
464
414
437
414
400
411
419
405
444
402
424
403
409
419
398
424
488
408
404
